DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
4.9,7.7,1385.0,27.5,7.7,42500.0,72000.0,1258.4840014492754
5.0,7.3,1067.0,19.3,6.2,21467.0,39533.0,706.2665144927537
5.3,7.2,970.0,13.3,5.9,3167.0,7133.0,238.36311362318844
4.9,7.7,1418.0,21.0,4.2,28000.0,49500.0,875.1705947826088
4.1,7.5,1015.0,23.0,6.1,35000.0,57500.0,1049.830363768116
4.8,7.4,854.0,17.0,4.7,20500.0,38000.0,666.6862684057971
6.8,8.2,55.0,19.8,0.0,4.0,10.0,233.72908260869565
6.8,7.9,55.0,18.2,0.0,4.0,10.0,214.35788260869563
4.0,6.8,370.0,3.0,0.8,4.0,9.0,74.33846405797102
7.8,7.8,376.0,1.3,0.4,9.0,17.0,58.438606376811606
7.7,7.7,354.0,1.3,0.3,12.0,22.0,57.235320000000016
7.6,7.9,344.0,1.6,0.4,12.0,22.0,63.852740289855085
6.8,7.2,55.0,88.0,0.0,4.0,10.0,820.0754826086958
4.4,7.1,694.0,41.0,1.2,92.0,224.0,416.10522956521737
5.9,8.0,401.0,0.9,0.7,4.0,15.0,67.43781855072463
6.0,7.2,106.0,0.8,0.4,4.0,15.0,52.08583159420291
5.6,7.9,326.0,1.1,0.8,4.0,4.0,68.90749275362319
6.2,8.1,592.0,1.0,0.7,4.0,6.0,68.65579768115941
7.2,7.5,119.0,2.3,3.8,33.0,74.0,65.82726144927534
7.2,7.5,120.0,2.3,4.1,31.0,67.0,65.81454144927537
7.5,7.3,82.0,1.8,2.8,30.0,70.0,56.30134724637681
7.5,7.5,111.0,2.4,3.0,293.0,506.0,71.02101391304349
5.3,3.3,831.0,7.7,3.2,18.0,36.0,49.60789362318838
7.2,7.2,56.0,1.7,2.6,21.0,42.0,54.89076144927537
7.5,7.2,66.0,1.6,2.5,22.0,44.0,52.576107246376814
7.8,7.0,74.0,2.3,4.3,28.0,108.0,54.202486376811606
7.3,6.6,274.0,2.5,2.4,176.0,386.0,54.60254782608695
7.4,7.3,67.0,1.8,2.5,25.0,55.0,56.63253420289855
7.2,7.4,82.0,2.0,2.8,26.0,61.0,61.16062811594204
7.3,7.1,55.0,1.9,2.5,24.0,53.0,54.50164115942029
7.3,7.1,57.0,2.0,2.4,24.0,50.0,55.37568782608696
6.6,7.1,114.0,2.6,2.8,2142.0,3108.0,111.59132985507247
7.3,5.6,56.0,1.8,2.1,16.0,34.0,27.351947826086956
5.1,7.0,105.0,3.6,4.7,351.0,780.0,86.03612753623189
7.3,7.1,51.0,1.6,2.4,19.0,40.0,51.72086782608695
7.7,7.2,50.0,1.6,2.0,19.0,36.0,51.48768666666666
7.6,7.3,115.0,2.1,3.7,301.0,528.0,64.67138028985508
6.2,7.0,81.0,2.4,5.1,36.0,79.0,63.04450434782608
7.2,7.1,66.0,1.9,3.4,28.0,63.0,55.174148115942025
7.4,7.1,57.0,1.5,2.9,13.0,40.0,50.27796753623189
7.5,7.4,144.0,1.7,3.5,26.0,59.0,57.15150057971015
7.1,7.1,63.0,1.9,5.6,22.0,48.0,55.7592084057971
7.3,7.2,65.0,1.9,3.3,24.0,48.0,56.32620782608696
7.3,7.3,65.0,2.0,3.0,25.0,54.0,58.93802782608696
3.9,7.1,233.0,17.0,10.5,13174.0,22223.0,500.930024347826
7.2,7.0,66.0,1.9,3.7,28.0,60.0,53.47028811594202
7.7,7.2,62.0,1.6,3.0,27.0,59.0,51.78152
7.3,6.9,61.0,2.2,2.0,25.0,52.0,53.653774492753634
3.2,7.1,258.0,23.5,10.3,31833.0,54083.0,981.1923663768116
7.2,7.2,124.0,6.9,4.5,348.0,552.0,108.4827547826087
7.2,7.1,65.0,2.1,2.4,56.0,120.0,57.46633478260869
7.5,7.3,64.0,1.9,3.3,21.0,42.0,57.03219391304348
7.6,7.3,65.0,1.9,3.8,21.0,43.0,56.60621362318841
7.1,7.3,269.0,1.4,0.1,4.0,115.0,53.86613507246376
7.2,7.3,275.0,1.5,0.1,4.0,68.0,54.261228115942025
6.9,7.1,186.0,1.6,0.1,4.0,29.0,53.08952898550724
6.8,7.1,201.0,1.4,0.2,4.0,86.0,51.82698927536232
6.2,7.8,165.0,2.1,0.0,282.0,340.0,79.23180434782608
6.4,7.8,158.0,4.1,0.5,458.0,500.0,99.95155710144928
6.6,7.9,210.0,4.2,1.9,510.0,572.0,102.94012985507248
